country_code,population,population_density,median_age,aged_65_older,aged_70_older
TZA,59734213.0,64.699,17.7,3.108,1.874
UGA,45741000.0,213.75900000000001,16.4,2.168,1.308
UKR,43733759.0,77.39,41.4,16.462,11.133
URY,3473727.0,19.750999999999998,35.6,14.655,10.360999999999999
USA,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001
UZB,33469199.0,76.134,28.2,4.468999999999999,2.873
VAT,809.0,,,,
VCT,110947.0,281.78700000000003,31.8,7.724,4.832
VEN,28435943.0,36.253,29.0,6.614,3.915
VGB,30237.0,207.97299999999998,,,
VIR,104423.0,306.48,42.2,18.601,10.799000000000001
VNM,97338583.0,308.127,32.6,7.15,4.718
OWID_KOS,1932774.0,168.155,,,
YEM,29825968.0,53.508,20.3,2.9219999999999997,1.5830000000000002
ZAF,59308690.0,46.754,27.3,5.343999999999999,3.053
ZMB,18383956.0,22.995,17.7,2.48,1.5419999999999998
ZWE,14862927.0,42.729,19.6,2.822,1.882
OWID_WRL,7794798729.0,58.045,30.9,8.696,5.355
INT,,,,,
